Catch Year,Species Code,Species Name,Gear Code,Gear Name,SMA,NAFO Division,Quota,Quota Name,Unit Wt.,Qta Amt,Landed RW,Number of Animals,Landed Value,Discard Dead,Dumped Round,Discard Alive,# of Fishers,# of Vessels,# of Buyers,# of Trips
2001,130,Halibut,12,Bottom Otter Trawl (stern),3PS,3PS,23099,3Ps Atlantic Halibut Mobile Gear 65'-100',Tonnes,0,1.15,0,6105.02,0,0,0,1,1,1,2
2001,130,Halibut,22,Scottish Seine,3O,3N,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.03,0,160.97,0,0,0,1,1,1,1
2001,130,Halibut,22,Scottish Seine,3O,3O,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,0.02,0,114.13,0,0,0,1,1,1,1
2001,130,Halibut,41,Gill Net (Set or Fixed),3L,3O,19254,3L Atlantic Halibut Fixed Gear < 65',Tonnes,0,0.05,0,264,0,0,0,1,1,1,1
2001,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,19549,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,63,14.34,0,81571.09,0.55,0,0,21,21,13,57
2001,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,19818,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,13.42,0,80820.07,0.01,0,0,2,2,2,10
2001,130,Halibut,41,Gill Net (Set or Fixed),3O,3O,23125,3NO Atlantic Halibut Scandinavian L/L,Tonnes,0,30.51,0,162231.83,0.01,0,0,2,2,2,6
2001,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,19139,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,29,24.83,0,155326.35,0.35,0,0,120,121,18,295
2001,130,Halibut,41,Gill Net (Set or Fixed),3PS,3PS,19821,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,9.62,0,51164.85,0.03,0,0,3,3,3,3
2001,130,Halibut,51,Longline,3O,3N,17295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,4.83,0,34193.42,0,0,0,1,1,1,1
2001,130,Halibut,51,Longline,3O,3N,19549,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,63,0.14,0,724.53,0,0,0,1,1,1,1
2001,130,Halibut,51,Longline,3O,3N,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,13.79,0,91868.91,0,0,0,2,2,2,2
2001,130,Halibut,51,Longline,3O,3O,17295,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,18.98,0,132698.76,0,0,0,3,3,2,5
2001,130,Halibut,51,Longline,3O,3O,19549,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,63,18.53,0,110817.73,0,0,0,5,5,6,14
2001,130,Halibut,51,Longline,3O,3O,19818,3NO Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,15.18,0,91171.72,0.11,0,0,3,3,4,10
2001,130,Halibut,51,Longline,3O,3O,19819,3NO Atlantic Halibut Vessels >100',Tonnes,0,13.58,0,72237,0,0,0,1,1,1,2
2001,130,Halibut,51,Longline,3O,3PS,19549,3NO Atlantic Halibut Fixed Gear < 65',Tonnes,63,0.06,0,323.06,0,0,0,1,1,1,1
2001,130,Halibut,51,Longline,3PS,3O,17301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,0.06,0,320.53,0,0,0,1,1,1,1
2001,130,Halibut,51,Longline,3PS,3PS,17301,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,4.81,0,32321.68,0.03,0,0,4,4,2,5
2001,130,Halibut,51,Longline,3PS,3PS,19139,3Ps Atlantic Halibut  Fixed Gear < 65',Tonnes,29,43.87,0,270435.06,0,0,0,127,129,14,465
2001,130,Halibut,51,Longline,3PS,3PS,19821,3Ps Atlantic Halibut Fixed Gear 65'-100',Tonnes,0,15.07,0,84283.39,0,0,0,2,2,1,6
2001,130,Halibut,51,Longline,3PS,3PS,19822,3Ps Atlantic Halibut Vessels >100',Tonnes,0,0.49,0,2594.69,0,0,0,2,2,2,2
